sepal_length_cm,class,sepal_width_cm,petal_length_cm,petal_width_cm
5.1,Iris-setosa,3.5,1.4,0.2
4.9,Iris-setosa,3,1.4,0.2
4.7,Iris-setosa,3.2,1.3,0.2
4.6,Iris-setosa,3.1,1.5,0.2
5,Iris-setosa,3.6,1.4,0.2
5.4,Iris-setosa,3.9,1.7,0.4
4.6,Iris-setosa,3.4,1.4,0.3
5,Iris-setosa,3.4,1.5,NA
4.4,Iris-setosa,2.9,1.4,NA
4.9,Iris-setosa,3.1,1.5,NA
5.4,Iris-setosa,3.7,1.5,NA
4.8,Iris-setosa,3.4,1.6,NA
4.8,Iris-setosa,3,1.4,0.1
5.7,Iris-setosa,3,1.1,0.1
5.8,Iris-setosa,4,1.2,0.2
5.7,Iris-setosa,4.4,1.5,0.4
5.4,Iris-setosa,3.9,1.3,0.4
5.1,Iris-setosa,3.5,1.4,0.3
5.7,Iris-setossa,3.8,1.7,0.3
5.1,Iris-setosa,3.8,1.5,0.3
5.4,Iris-setosa,3.4,1.7,0.2
5.1,Iris-setosa,3.7,1.5,0.4
4.6,Iris-setosa,3.6,1,0.2
5.1,Iris-setosa,3.3,1.7,0.5
4.8,Iris-setosa,3.4,1.9,0.2
5,Iris-setosa,3,1.6,0.2
5,Iris-setosa,3.4,1.6,0.4
5.2,Iris-setosa,3.5,1.5,0.2
5.2,Iris-setosa,3.4,1.4,0.2
4.7,Iris-setosa,3.2,1.6,0.2
4.8,Iris-setosa,3.1,1.6,0.2
5.4,Iris-setosa,3.4,1.5,0.4
5.2,Iris-setosa,4.1,1.5,0.1
5.5,Iris-setosa,4.2,1.4,0.2
4.9,Iris-setosa,3.1,1.5,0.1
5,Iris-setosa,3.2,1.2,0.2
5.5,Iris-setosa,3.5,1.3,0.2
4.9,Iris-setosa,3.1,1.5,0.1
4.4,Iris-setosa,3,1.3,0.2
5.1,Iris-setosa,3.4,1.5,0.2
5,Iris-setosa,3.5,1.3,0.3
4.5,Iris-setosa,2.3,1.3,0.3
4.4,Iris-setosa,3.2,1.3,0.2
5,Iris-setosa,3.5,1.6,0.6
5.1,Iris-setosa,3.8,1.9,0.4
