Order_ID,User_ID,Product_ID,"upid",Shipping_Address_ID,Credit_Card_ID,Subtotal,Tax_Cost,Shipping_Cost,Total_Cost,"date","Created_Date","Updated_Date","Status",Transaction_Number,Tracking_Number,"Tracking_Type","Notes"
1,1,43,"C",NULL,NULL,272,24,20,316,"2013-12-30 13:27:12","2013-12-30 13:27:12","2014-02-01 13:27:12","Ready for Pickup",4586619,807139622,"9","Enter Notes Here"
2,1,22,"F",NULL,NULL,255,23,10,288,"2013-12-31 10:16:14","2013-12-31 10:16:14","2014-02-10 10:16:14","Cancelled",6558799,101986819,"4","Enter Notes Here"
3,1,8,"B",NULL,NULL,178,16,55,249,"2014-01-02 07:40:22","2014-01-02 07:40:22","2014-02-17 07:40:22","Delivered",2676190,324972143,"8","Enter Notes Here"
4,2,36,"F",NULL,NULL,199,18,93,310,"2014-01-03 11:25:13","2014-01-03 11:25:13","2014-01-10 11:25:13","Received",2385766,517715220,"9","Enter Notes Here"
5,1,4,"A",NULL,NULL,453,41,82,576,"2014-01-03 12:52:27","2014-01-03 12:52:27","2014-02-17 12:52:27","In Transit",9495122,73504446,"5","Enter Notes Here"
6,1,41,"D",NULL,NULL,307,28,25,360,"2014-01-05 23:48:01","2014-01-05 23:48:01","2014-01-27 23:48:01","Delivered",528937,396411985,"5","Enter Notes Here"
7,1,12,"F",NULL,NULL,64,6,99,169,"2014-01-06 10:37:33","2014-01-06 10:37:33","2014-01-31 10:37:33","Received",7607914,736506253,"7","Enter Notes Here"
8,5,37,"A",NULL,NULL,99,9,63,171,"2014-01-07 10:11:56","2014-01-07 10:11:56","2014-02-02 10:11:56","Ready for Pickup",1226590,588237913,"1","Enter Notes Here"
9,3,4,"G",NULL,NULL,352,32,16,400,"2014-01-09 09:19:18","2014-01-09 09:19:18","2014-01-27 09:19:18","Delivered",2211509,990669585,"9","Enter Notes Here"
10,6,20,"F",NULL,NULL,183,16,67,266,"2014-01-10 23:30:34","2014-01-10 23:30:34","2014-01-21 23:30:34","Delivered",6604847,397860995,"2","Enter Notes Here"
11,6,48,"A",NULL,NULL,410,37,53,500,"2014-01-11 23:46:15","2014-01-11 23:46:15","2014-01-23 23:46:15","Delivered",1761313,788162732,"8","Enter Notes Here"
12,4,43,"A",NULL,NULL,91,8,30,129,"2014-01-12 20:19:29","2014-01-12 20:19:29","2014-01-25 20:19:29","Cancelled",990248,174884850,"2","Enter Notes Here"
13,6,22,"F",NULL,NULL,352,32,88,472,"2014-01-13 08:49:50","2014-01-13 08:49:50","2014-02-23 08:49:50","Received",5680537,186628926,"4","Enter Notes Here"
14,3,41,"E",NULL,NULL,266,24,97,387,"2014-01-14 08:30:59","2014-01-14 08:30:59","2014-02-19 08:30:59","Delivered",7329618,897410879,"7","Enter Notes Here"
15,8,11,"F",NULL,NULL,305,27,94,426,"2014-01-14 19:07:11","2014-01-14 19:07:11","2014-03-01 19:07:11","Ready for Pickup",3618056,526735971,"1","Enter Notes Here"
16,10,20,"G",NULL,NULL,383,34,33,450,"2014-01-14 21:35:11","2014-01-14 21:35:11","2014-02-13 21:35:11","Received",313314,925783740,"1","Enter Notes Here"
17,9,40,"C",NULL,NULL,79,7,48,134,"2014-01-16 08:35:08","2014-01-16 08:35:08","2014-01-23 08:35:08","In Transit",870755,823875517,"2","Enter Notes Here"
18,1,26,"A",NULL,NULL,196,18,89,303,"2014-01-16 16:59:36","2014-01-16 16:59:36","2014-03-04 16:59:36","Delivered",7372578,368539299,"5","Enter Notes Here"
19,1,39,"C",NULL,NULL,471,42,34,547,"2014-01-17 21:27:25","2014-01-17 21:27:25","2014-02-27 21:27:25","Delivered",3075817,599184018,"9","Enter Notes Here"
20,7,1,"A",NULL,NULL,306,28,99,433,"2014-01-18 14:10:20","2014-01-18 14:10:20","2014-02-22 14:10:20","In Transit",6360546,681229851,"4","Enter Notes Here"
21,8,45,"B",NULL,NULL,320,29,37,386,"2014-01-19 09:43:15","2014-01-19 09:43:15","2014-02-15 09:43:15","Received",475869,727714398,"4","Enter Notes Here"
22,2,9,"A",NULL,NULL,370,33,13,416,"2014-01-20 04:37:17","2014-01-20 04:37:17","2014-02-01 04:37:17","Delivered",9550802,646049647,"4","Enter Notes Here"
23,5,46,"E",NULL,NULL,152,14,50,216,"2014-01-20 06:43:36","2014-01-20 06:43:36","2014-02-09 06:43:36","Received",1877249,904007433,"2","Enter Notes Here"
24,14,12,"D",NULL,NULL,258,23,19,300,"2014-01-20 23:33:47","2014-01-20 23:33:47","2014-02-25 23:33:47","Ready for Pickup",1918072,395329197,"4","Enter Notes Here"
25,5,26,"E",NULL,NULL,136,12,96,244,"2014-01-21 03:37:30","2014-01-21 03:37:30","2014-02-26 03:37:30","Delivered",8479976,243051950,"5","Enter Notes Here"
26,8,37,"B",NULL,NULL,145,13,81,239,"2014-01-24 00:28:16","2014-01-24 00:28:16","2014-02-14 00:28:16","Delivered",7732812,164728167,"8","Enter Notes Here"
27,3,2,"E",NULL,NULL,328,30,46,404,"2014-01-25 02:51:01","2014-01-25 02:51:01","2014-02-24 02:51:01","In Transit",554874,670934714,"8","Enter Notes Here"
28,8,33,"D",NULL,NULL,472,42,65,579,"2014-01-26 02:53:09","2014-01-26 02:53:09","2014-02-12 02:53:09","In Transit",903038,172159283,"8","Enter Notes Here"
29,17,49,"E",NULL,NULL,24,2,93,119,"2014-01-28 20:49:45","2014-01-28 20:49:45","2014-03-17 20:49:45","Delivered",2105951,725291421,"5","Enter Notes Here"
